,N_star,alpha,R_hull,m_mean,m_m2,m_m3,m_m4,s_mean,s_m2,s_m3,s_m4
1174,697.0,0.652117870494892,3.8881865379334277,2.5628566297600734,1.3445629492378635,1.1616005224377721,1.8102439365625194,1.8021629504575085,0.8672996598628916,0.5848215615123475,1.08923194552204
1175,780.0,1.31949869975224,4.3103337659877035,2.726349533073751,1.6760171438263742,1.8419968282640464,2.5895504044753395,1.7886009459817769,0.8949338836098977,0.6737646191613933,1.1479994753791019
1176,360.0,1.5155357919747647,4.308522626805568,2.7591098573656434,1.7705284677025168,1.892091738318664,2.6025962522371047,1.783337718057506,0.9053764870778606,0.7079184768287966,1.170825500114933
1177,723.0,1.8884937510658597,4.764097463095036,2.8735873853092566,2.0690546708292032,2.342892482722522,3.238845655416078,1.760947421979675,0.9481899477547393,0.779235968285089,1.2438245870373015
1178,477.0,2.234397028418867,5.315396679256358,2.9866053935210637,2.75894890966139,3.4412471816609136,4.684575176244409,1.7005135236650228,1.0527363182831537,0.9304471360281618,1.4095956638938205
1179,1564.0,1.239457273582905,4.247491775711982,2.714117568065334,1.5656514504390013,1.6683815543556104,2.4578628466726906,1.7934835996821503,0.885108229354555,0.6491875990330418,1.1282596098817097
1180,702.0,0.5576117133746075,3.8596715736544365,2.567931003956694,1.3290131069384272,1.1670907634364454,1.8677192851353877,1.8037562118261652,0.8639812083017318,0.5675359358503375,1.0806155421638342
1181,699.0,0.9181268571974791,4.0056296454919496,2.627126136508921,1.512269979564754,1.644481429994483,2.3763637361458203,1.800500822607471,0.8707449613921512,0.5934882008392628,1.0951332108636416
1182,693.0,0.7195174173668398,4.086962059325297,2.674945292035927,1.4124863952058218,1.3690864368540552,2.097481050900338,1.7970791003998867,0.8777851143109773,0.6247462497145376,1.1127228509570197
1183,1039.0,2.156185988971412,5.160770597082613,2.9637966113595833,2.4560126704881253,2.952084466245762,4.053994477732713,1.7330773729602105,0.998219825155429,0.8414102593591923,1.3219776522830542
1184,1001.0,2.0550880102219615,5.062340761315534,2.9645225243353144,2.348383243231016,2.7247798184666765,3.740172848939464,1.7393517999872072,0.9872463298899947,0.8322533849964113,1.3041230217246513
1185,450.0,2.571426649752316,6.507625109482336,3.1721334610100214,4.145977120534924,5.411673945986493,7.242468478564759,1.5505487693953295,1.263249189086076,1.2220010609018959,1.7098120309074905
1186,262.0,0.44895202848326354,3.638741607908891,2.5031813787730854,1.217577751939159,1.0262069659800306,1.679581345600578,1.8071597502081356,0.8568393298791032,0.5342758071425188,1.0642891541830801
1187,493.0,1.7209433650991999,4.606159112523903,2.863812545396308,1.9262941189831613,2.036885200564831,2.8426929590093106,1.7642564456037504,0.9420186803591633,0.7660249873547791,1.2310759581178594
1188,2038.0,2.471825382884639,6.284142386979206,3.1198139631643107,3.435284962848081,4.345273737825152,5.846199426136808,1.6441672814154737,1.1387334853787572,1.0302729664851744,1.5260791258910453
1189,1432.0,0.9212962448572534,4.13308758790058,2.6418954125133705,1.4960551641398108,1.561219409463934,2.3081778557996637,1.7976005704311304,0.8767167097675701,0.620763717104811,1.109924497346697
1190,721.0,0.23793223877592862,3.7554978106198877,2.5163228346757958,1.2481930716635343,1.009985611918349,1.6961580137734693,1.806251489618879,0.8587523253241194,0.5310535140201177,1.0655909552215832
1191,372.0,1.2304011491168718,4.0940725535668605,2.707774068808287,1.5458040679293457,1.4084726050262935,2.0637067347450087,1.7888061889893265,0.8945235705298556,0.6674436412684839,1.1439574724912032
1192,286.0,0.8369731412601642,3.8186980535519415,2.580492199235317,1.4320273613869179,1.4058485301003225,2.1247953529949726,1.8030056374509924,0.8655464582100385,0.5783416849688162,1.0863310216224198
1193,903.0,2.3149600920796694,5.553308735979377,3.010578606387415,3.0085970803388844,3.889401698110727,5.301662581565692,1.6925420610350412,1.065505218958244,0.9303222853258423,1.4190171022919094
1194,1428.0,2.6224607318287476,7.352317378914382,3.28075843693557,4.537964740035534,6.073390711282722,8.04338418825444,1.5304404006135355,1.287537253895933,1.272677245928106,1.7708088517530463
1195,152.0,1.7426752551468274,4.348842523445551,2.7862220383034324,2.1770560406516823,2.4858687516116507,3.3791909315430773,1.7552571620629018,0.9586825830413783,0.7855153631897939,1.2554710848412476
1196,1214.0,0.5732610946938311,4.037466440763544,2.577994566228942,1.352504365981312,1.3286287134603154,1.9987751684692538,1.7998233197070412,0.8721444936699013,0.6030823607627471,1.0995973913134915
1197,534.0,0.28210127879171976,3.73233064364497,2.51434237277898,1.2279187332036776,1.0817485093492025,1.7204278186042516,1.8068354585567434,0.8575229592856652,0.5222975920838795,1.0644124520471971
1198,1404.0,2.8561020375573234,9.519398213772568,3.501883777760996,6.775365550482318,9.90419377369361,13.457998925063334,1.221588826723003,1.5835797421446518,1.805732670997377,2.3218182496884676
1199,465.0,2.3064283751980534,5.3254742599283444,3.0204369429070175,2.699790781836829,3.165764864044038,4.312988074949792,1.7009966958074023,1.0519554367235802,0.9219544282581026,1.4040016649406912
1200,1108.0,1.9263241549464336,4.9264528602095305,2.8971692976600933,2.216052190191114,2.620704545998564,3.6702906498026766,1.750036152877928,0.9681804912412875,0.8089898120887093,1.277216573772632
1201,2968.0,0.99787629667111,4.278158371698458,2.7064659176340684,1.5477481605869376,1.6604740732606076,2.4120356710542596,1.794580100918464,0.8828829262067983,0.6409857810764743,1.1228589447167923
1202,569.0,2.771441093463246,8.06980799651539,3.3067934703006783,5.856789767786711,8.347526254370093,11.149753476068028,1.3560016386175273,1.4701222928949083,1.591423381522705,2.0862670796082226
1203,2088.0,0.2800810659308053,3.9183164926285508,2.5459422343052607,1.2987771007495446,1.2689770272107785,1.9167614251820493,1.8045887763470883,0.8622408876190689,0.555163487391356,1.075439460226105
1204,281.0,2.55560139434741,5.952767572797551,3.0814256909672046,3.6018589554022067,4.4975998617559725,5.942879073303653,1.5899944368802945,1.2132261498540633,1.156464549809918,1.6522264545882188
1205,1424.0,2.5674908953532993,6.834718164416749,3.1696963318039604,4.022027707938794,5.439051968863047,7.405103063798198,1.5880087809242112,1.215824046360162,1.1572720222818411,1.6514841299123544
1206,488.0,2.0786597145427472,5.101719690485127,3.003244421109551,2.5561782235959347,3.0852412548682806,4.174144569827164,1.7262586218786304,1.0099659253606987,0.8671852793739907,1.3424839400736883
1207,661.0,0.6679607290773083,3.955832840653533,2.633345713755937,1.3615930820970101,1.2755385653432814,1.9465538881397255,1.799276577571507,0.8732718920259409,0.608581681002742,1.101918794765345
1208,202.0,0.0031160777300832665,3.5886673380441594,2.5441042905901194,1.1418274698312585,0.9376182261873702,1.534359716520004,1.8101188345907278,0.850570282022542,0.4958601593865459,1.0530711215967026
1209,628.0,2.7154314751618207,7.245285141056853,3.2899033121146273,4.749463704718281,6.234567993667016,8.362933718970632,1.4626304870139848,1.3640791980149956,1.3692360748799486,1.8685619696543243
1210,777.0,0.9698220388985779,3.9791097536005897,2.6238271432712974,1.4064825376135697,1.3203679323124944,1.9857029801237898,1.8001780004151968,0.8714121681621981,0.6028815532081351,1.0984898345430942
1211,553.0,0.230063096554753,3.770393898251347,2.5363791177271473,1.2659137601039008,1.0907822252264379,1.7905954902629524,1.8068871181490591,0.8574141019758129,0.5190188114424161,1.0625175942832419
1212,359.0,0.8517421597246642,3.8064239774382402,2.4852116222824265,1.2115331372015985,0.9370163081930326,1.5874175128671841,1.8021856695850202,0.8672524501795268,0.5837851899122967,1.0874486475874776
1213,601.0,2.5010237318860917,6.048854086854257,3.069735729488556,3.5332556115737974,4.3826137764262825,5.825710256202022,1.6187295140954279,1.1746126000500672,1.0904597756587708,1.5783909185327414
1214,484.0,1.4055930387438198,4.241850236880856,2.742782816055083,1.6344241521070726,1.6505008129508427,2.354107138970989,1.7865400907848477,0.8990408800596706,0.6888159470440803,1.1566078656631953
1215,720.0,0.35365525211207827,3.776094483933712,2.473589640447855,1.2608613518700236,1.0573925841233736,1.6746104842554568,1.8058095288167555,0.859681304690643,0.5376661803710948,1.0682728121081633
