,N_star,D,R_hull,m_mean,m_m2,m_m3,m_m4,s_mean,s_m2,s_m3,s_m4
1079,682.0,1.09001499076183,2.7668981458702526,0.6044992374012766,1.776281572142291,4.587970055316331,7.737115298103254,1.7642237187235843,0.9420799702218146,-0.6067564916319098,1.1301460350637171
1080,986.0,1.9851113464897114,3.6106973010106476,2.0236361765830044,1.0229668075263618,0.8939893255620042,1.4082493535502991,1.80024859215437,0.8712663234890976,0.4696490108236443,1.0738533779416313
1081,2406.0,2.8098275001486472,4.276720852747031,2.673150988439997,1.5169771435439294,1.6703625744370318,2.405479112972593,1.7937620643410452,0.8845437561426525,0.6389548670255973,1.1262023335680371
1082,1439.0,1.0533458471851604,2.809130825070088,0.4324130839813844,1.9584560439851142,4.968580589864358,8.276954273612498,1.780227514204388,0.9114768223436435,-0.5859490532539989,1.122805550480518
1083,485.0,1.825800239638585,3.0630915105824466,1.4542529358084988,1.016977537325666,1.7123896170940764,2.691702903026388,1.7857221918725747,0.9006643400589412,-0.2467911968377824,1.085212501392729
1084,1019.0,1.9981791741390904,3.5590108464679986,1.8478257354826395,0.9503096129288782,0.8420942508028858,1.3044445300234582,1.7895059485200941,0.8931228696048475,0.4035043308160012,1.0882873333503227
1085,1137.0,2.5281444294629347,3.9692725515236136,2.479030707037977,1.3280823378783306,1.2597206613703678,1.886904341548853,1.8011414261083354,0.869419095233382,0.5562226439460489,1.0934151008409148
1086,342.0,1.2256104267817145,3.026410175056088,1.1990774746002064,1.3220719163039827,2.3278143170655388,3.4096970053172746,1.7920291417813936,0.8880492976216131,-0.4356117322092117,1.086954365079287
1087,3840.0,2.9827486308051476,4.390918405025238,2.7319079812500924,1.6179320083769801,1.8532740190617303,2.7131558832166682,1.794933494356038,0.8821642425528325,0.6420697852321443,1.12455970873929
1088,672.0,1.2043022979740072,2.816079287213044,0.6740809716128169,1.669874488133171,4.002289545057361,6.534720455931008,1.7633695393644537,0.9436778410249932,-0.47569468161460887,1.152360290188038
1089,1028.0,2.0038783278019405,3.566295960269024,1.8627360959862256,0.9894358945820922,0.9799220746905148,1.453850033589973,1.7921518744997793,0.8878015874771369,0.4966271850619732,1.0976996024169743
1090,864.0,1.616116175726964,3.381355212127843,1.448436931159076,1.0617286152595389,1.8849684226848424,2.9812979754389817,1.786049387982835,0.900015324139615,0.229982961288007,1.087142510142707
