,ra,dec,parallax,parallax_error
52,64.754643,28.328248,8.377,0.153
53,64.758284,28.375797,7.404,0.23
54,64.816019,29.107368,7.747000000000001,0.057999999999999996
55,64.859487,28.437184999999996,7.593,0.064
56,64.89779,28.455966999999998,8.357999999999999,0.301
57,64.922002,27.829934,7.912999999999999,0.102
58,65.067187,28.358924,7.752000000000001,0.201
59,65.106542,27.009797999999996,5.87,0.185
60,65.107697,28.323176,8.187999999999999,0.418
61,65.10865,28.069069,7.843,0.053
62,65.163341,27.292049,7.515,0.065
63,65.289005,27.843383000000003,8.452,0.098
64,65.39419699999999,27.02735,5.9879999999999995,0.138
65,65.415253,26.820494,6.013,0.168
66,65.41731,28.239489000000003,7.789,0.095
67,65.430174,19.570313,6.723,0.099
68,65.44301800000001,26.99142,6.232,0.28300000000000003
69,65.47847800000001,26.710314,6.2010000000000005,0.13
70,65.481863,27.918266999999997,7.851,0.066
71,65.489246,28.443093,2.2569999999999997,0.239
72,65.495245,28.301695000000002,7.672999999999999,0.052000000000000005
73,65.497687,19.535058,6.928999999999999,0.057999999999999996
74,65.51316,28.427415999999997,8.314,0.139
75,65.520707,19.580056,6.906000000000001,0.09699999999999999
76,65.555524,19.57752,7.284,0.292
77,65.568557,25.819864000000003,6.611000000000001,0.19399999999999998
78,65.569917,26.915805,6.346,0.135
79,65.600248,26.773802000000003,6.125,0.105
80,65.699557,26.764612,6.3420000000000005,0.11
81,65.725752,24.664820000000002,7.86,0.10099999999999999
82,65.775373,28.021984000000003,7.468999999999999,0.136
83,65.78244699999999,28.099181,7.191,0.172
84,65.887163,19.838637,6.814,0.361
85,65.89749599999999,25.050670999999998,7.598,0.15
86,65.89895,25.049797,7.4910000000000005,1.2890000000000001
87,65.913322,24.937198000000002,7.825,0.052000000000000005
88,66.087119,26.514066999999997,7.268,0.183
89,66.096773,26.835577,6.462999999999999,0.09
90,66.110311,26.830547999999997,6.43,0.13
91,66.185806,26.170512,6.267,0.109
92,66.187813,27.028988000000002,7.891,0.083
93,66.200694,26.721065999999997,6.166,0.046
94,66.20440699999999,26.719482,6.212000000000001,0.084
95,66.209246,26.683446000000004,6.527,0.127
96,66.237884,27.198925,7.659,0.042
97,66.314675,28.490875,7.516,0.14400000000000002
98,66.323764,26.297293,5.983,0.195
99,66.622511,26.403734999999998,6.415,0.22699999999999998
100,66.627336,24.732082000000002,8.41,0.675
101,66.68544200000001,27.945259000000004,7.568,0.17800000000000002
102,66.726691,26.114063,7.147,0.135
103,66.738843,26.107782999999998,7.497999999999999,0.127
104,66.761649,25.706123,8.041,0.42100000000000004
105,66.769577,26.104373000000002,8.252,0.146
106,66.780884,22.250969,6.202000000000001,0.107
107,66.852891,26.40543,6.205,0.096
108,66.866674,26.201315,7.4239999999999995,1.214
109,66.93916899999999,23.956711,6.242999999999999,0.614
110,67.065322,27.186284999999998,7.5889999999999995,0.125
111,67.177627,27.234393,7.531000000000001,0.14300000000000002
112,67.177663,27.234219,7.506,0.4
113,67.210655,18.743287,7.337999999999999,0.179
114,67.252894,27.917474,6.8660000000000005,0.35100000000000003
115,67.33267,27.404111,7.289,0.109
116,67.3363,26.561144,7.737,0.19899999999999998
117,67.348922,24.549951999999998,5.564,0.512
118,67.400311,24.598685999999997,7.727,0.08900000000000001
119,67.423167,26.549390000000002,7.388,0.069
120,67.42700699999999,26.546885999999997,7.401,0.052000000000000005
121,67.440339,26.512843,7.7989999999999995,0.207
122,67.464849,26.112369,7.617999999999999,0.062
123,67.47599699999999,17.901004,8.203,0.2
124,67.497989,24.552042999999998,7.626,0.153
125,67.514971,18.230324,7.301,0.07200000000000001
126,67.516675,18.229577,6.849,0.10400000000000001
127,67.516697,18.230334,7.147,0.1
128,67.530215,26.138988,8.616,0.5329999999999999
129,67.59857099999999,23.986847,7.669,0.773
130,67.68436700000001,26.023445000000002,7.781000000000001,0.059000000000000004
131,67.685009,26.023123000000002,7.188,0.139
132,67.70954499999999,23.002369,8.047,0.157
133,67.70993,23.002334,7.909,0.281
134,67.714145,24.706113000000002,7.45,0.27699999999999997
135,67.715554,24.696451,9.513,0.6559999999999999
136,67.738375,25.944223,8.142000000000001,0.46
137,67.81020699999999,27.171526,7.843999999999999,0.044000000000000004
138,67.815825,18.335219,7.032,0.08800000000000001
139,67.82951700000001,23.584595,5.829,0.35700000000000004
140,67.850288,18.005876,6.899,0.142
141,67.861275,27.055139,6.989,0.888
142,67.900635,18.228583,9.746,0.48100000000000004
143,67.943577,25.106437,7.572,0.155
144,67.960739,24.404839000000003,7.5,0.092
145,67.990853,18.360464999999998,6.899,0.061
146,67.990887,18.359567000000002,6.996,0.111
147,67.993583,25.724914000000002,6.553,0.09699999999999999
148,67.99875,18.35836,6.437,0.157
149,68.013759,25.468731,7.669,0.129
150,68.038736,17.956220000000002,6.97,0.046
151,68.060765,18.337364,6.143,0.35100000000000003
152,68.064264,24.483125,7.665,0.188
153,68.066052,18.027348,6.933,0.042
154,68.066999,18.212809,6.915,0.095
155,68.074497,24.370712,8.052999999999999,0.192
156,68.09218100000001,18.461767000000002,7.046,0.09699999999999999
157,68.097162,24.050310999999997,7.678,0.165
158,68.100705,22.852235,6.436,0.121
159,68.109542,18.464412,6.754,0.10099999999999999
160,68.126212,17.525037,6.664,0.098
161,68.12651,17.52475,7.2,0.239
162,68.127442,24.332507,7.68,0.071
163,68.132379,24.33409,7.691,0.075
164,68.171214,18.156570000000002,6.895,0.075
165,68.17949300000001,25.875187,7.622000000000001,0.092
166,68.182289,18.048896,6.626,0.048
167,68.204689,22.884056,6.077999999999999,0.079
168,68.205793,22.885534,6.064,0.272
169,68.209477,24.3698,11.856,2.407
170,68.213396,17.502473000000002,7.171,0.489
171,68.22187,17.592593,6.812,0.039
172,68.258248,24.349932,7.797999999999999,0.222
173,68.277672,24.165202999999998,8.834,0.659
174,68.282579,26.268415,6.568,0.212
175,68.289479,22.780101000000002,6.712000000000001,0.425
176,68.291826,24.561923999999998,7.657,0.040999999999999995
177,68.309877,26.239777,4.42,0.857
178,68.32952900000001,22.776076,6.772,0.282
179,68.359288,22.758056,6.2829999999999995,0.163
180,68.366302,17.978753,8.04,0.287
181,68.386759,18.012034,6.792999999999999,0.057999999999999996
182,68.386868,18.016738,6.667000000000001,0.081
183,68.38775799999999,18.016638,6.419,0.08199999999999999
184,68.391948,24.354651999999998,7.662999999999999,0.046
185,68.394048,24.351538,7.736000000000001,0.043
186,68.403349,26.163556,7.496,0.27899999999999997
187,68.412864,25.343837,6.276,0.048
188,68.41346999999999,17.863778,6.692,0.127
189,68.41406500000001,17.864448,7.322,0.158
190,68.42392099999999,17.844398,6.834,0.07200000000000001
191,68.42886899999999,25.446247,7.625,0.598
192,68.436116,26.250045,5.772,0.192
193,68.45311,18.169358,6.89,0.051
