,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,visibility_periods_used,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error
21,3012122107272610432,85.12653457715652,0.056199887472800636,-9.598147067084502,0.0522022020767597,2.25667971937333,0.07196441913260618,0.1816145273426973,0.12910655007358784,-0.40661995135483625,0.11410792593216547,199,4.620152,299.08813,12,221.06644,15.92337,54.052097,78.70923,1.4413929,2.3672047,1.236763,1.1304417,,
22,3012123893978987648,85.31743359824713,0.054445563915262125,-9.504756408783198,0.05000405668730183,2.1011403161151354,0.07535780020049128,0.5883306619172793,0.14156048443513242,-1.5094843524946242,0.14768650879720333,178,4.159159,261.591,11,111.298195,15.899186,24.839706,40.562515,1.4947313,2.6771708,1.4624586,1.2147121,,
23,3012126677117886848,85.36548414274124,0.03918115448837775,-9.528185259853618,0.041275939709773495,2.115980375397577,0.06299217431349743,0.5277426154864965,0.10698201430158569,-0.8200448302284503,0.10468267229884835,173,3.6011803,242.18211,11,56.666157,15.490603,13.94014,22.57995,1.4867288,2.3460941,1.1854944,1.1605997,,
24,3012131590560373376,85.36751551157637,0.07684511620344892,-9.394578055251039,0.07580775358038273,2.5351668733518307,0.11713736936941996,0.5782765318536797,0.23834414553134411,-0.8097175195097732,0.23972179564061089,165,5.9594936,291.04202,11,263.63745,16.646128,20.396898,87.89668,1.5489534,2.7297,1.4697399,1.2599602,,
25,3012181893217340928,85.29222678652701,0.06941091294237754,-9.265265362555468,0.06572537000832063,2.3052397335588104,0.10027262871010173,0.3507886409323689,0.17224996800816988,-0.5765235269178476,0.1550117619557806,157,1.836086,185.55081,12,66.47066,16.640223,15.743685,23.426935,1.5662926,2.851657,1.5654163,1.2862406,,
26,3012185294831438720,85.28818141076158,0.07146741726025532,-9.234609792389264,0.07171066265984496,2.2540928641475393,0.10195926903003842,0.5050880125032923,0.17731834793756723,-0.9273544864023303,0.16690134980766266,166,2.0314074,199.50249,12,139.8567,16.756357,27.185389,45.896366,1.5813284,3.130291,1.8061237,1.3241673,,
27,3012185638428820352,85.30041200314865,0.032012479166623385,-9.199751635488948,0.03266724337667467,2.2426775292852925,0.04008358883423794,1.0133424894746592,0.09571493939520259,-1.088964648010602,0.09802867492841134,179,3.6416154,250.30737,11,3212.6218,11.6746645,875.526,1184.7684,1.2249643,0.968956,0.40152836,0.56742764,24.524944300978376,1.9290238091662752
28,3012185810227516544,85.22234220941343,0.028763019880292194,-9.234085609620928,0.02813414474627589,2.2550965678767927,0.0345353312800705,0.4699500074079832,0.07105700994698311,0.6743069374271236,0.07138398772552115,182,7.989337,372.79037,12,456.9352,13.212201,97.25971,168.05363,1.4321175,2.313201,1.1987467,1.1144543,25.37325133914598,18.23941770810588
29,3012186325623589376,85.2613175523929,0.0590734844247499,-9.208068067319035,0.05834709175776807,2.248278105460817,0.07228869738257107,0.4138031821110694,0.17526922860382096,-0.9564584617804633,0.19925925209762832,168,3.720891,238.97375,11,107.311386,16.243536,15.332853,44.895897,1.5465628,2.841527,1.5701752,1.2713518,,
30,3012222815665441024,85.66595541954621,0.0529683730045878,-9.362826756352419,0.052985913606535304,2.259474978717431,0.0642104105791174,0.20402618505673673,0.13440939089827642,-0.941326495550753,0.12399882559813565,186,5.9660187,318.9201,11,91.10433,16.025831,20.75038,30.353071,1.5353156,2.8214417,1.5602741,1.2611675,,
31,3012230374807820544,85.59419816187375,0.0880746821811406,-9.198490875054132,0.08693514552690569,2.5596579715524954,0.11792409101073671,1.0242921498953241,0.21143153622299582,0.08593285427291009,0.17788683183680667,181,4.3632154,270.3204,12,37.90765,17.088156,12.66903,13.8877325,1.5761359,2.6437435,1.3757763,1.2679672,,
32,3012235460049150208,85.6991666214348,0.04891421547562723,-9.177171949645142,0.049305678371140235,2.167462202974584,0.06443811151941048,0.009440674704483752,0.11336989901636509,-0.4620191377810921,0.09754180689422373,164,5.61519,280.64948,10,228.50192,15.225143,60.109463,87.12552,1.4596003,2.2684765,1.1411057,1.1273708,,
33,3012235563128366080,85.68235322104285,0.026395736965138028,-9.177401394624944,0.028025541187688564,2.3020662010916078,0.03416056232497203,0.44768327613837955,0.06382817304841533,-0.6520000753260573,0.05645078605405355,162,0.56774443,166.58238,11,313.24112,14.203711,104.65025,128.81735,1.3629878,1.9531507,0.96255684,0.9905939,,
34,3012235563128366208,85.68267372702549,0.049803043656519476,-9.178727602853767,0.051267552268536805,2.348697649266263,0.0644495715362343,0.6524395338684282,0.11784285885649091,-0.7890892040946198,0.10363812185108426,173,5.020543,276.92343,11,446.1273,15.779708,39.93432,178.35814,1.491946,2.598381,1.3960676,1.2023134,,
35,3012277550728658048,85.51713618395569,0.10665285008368082,-9.145123923386949,0.10181817219404751,2.192070152566074,0.13217171782137313,0.48293533289782875,0.25254122033691584,-1.3673120859574865,0.2002731279312381,157,3.5483475,221.78227,12,496.98465,17.408274,38.253708,232.82358,1.6021566,3.2570305,1.9080963,1.3489342,,
36,3012280024629768320,85.40576611298597,0.08771442917566079,-9.130893539467271,0.0866712387191767,2.0383427203960762,0.11675247936314165,-0.05581491491926678,0.212006267572196,-1.8639131218762819,0.1794968468185913,187,12.603057,542.50476,12,600.2983,16.466719,53.589973,209.1959,1.6214249,3.4283962,2.053896,1.3745003,,
37,3012287652491665920,85.72398544244105,0.026659047684745984,-8.957745931438614,0.027863125161549984,2.318671415887727,0.03406577514473445,0.5989730278400318,0.06257634784059848,-0.5002993824039691,0.05594200656560688,184,1.0440671,198.77454,11,137.77803,14.536303,40.32259,41.75108,1.4083389,2.147438,1.0811386,1.0662994,,
38,3012290985386287872,85.66548316155166,0.0902891043977938,-8.913929248936142,0.08993831701502585,2.4221316915193976,0.11244638177669061,0.6759878141613258,0.20077831455574768,-0.5423283796469974,0.1734074819364572,185,5.9332757,316.70346,11,453.4705,16.91042,22.801043,115.40601,1.6047839,3.1147985,1.7760143,1.3387842,,
39,3012295555231502976,85.36041597901004,0.047429757382541245,-8.977656289148937,0.04413973311729187,2.044959583208243,0.05237007341229039,0.7541199942148344,0.12119755584332945,-1.3250961695214627,0.09858069209304586,178,7.1055737,340.63968,11,97.291626,15.347748,26.434635,51.655334,1.5666816,2.5280066,1.2824554,1.2455511,,
40,3012296139347060096,85.30061018678911,0.0881702204818797,-8.981338482700064,0.07782180221753277,2.090415783080157,0.09789876891711176,0.47059828516637175,0.22692967336255082,-0.8635666041522113,0.1802858540564471,149,2.8572648,197.31209,11,96.71922,16.903675,18.47545,30.429722,1.5761269,2.7737703,1.4896355,1.2841349,,
41,3012296689102867712,85.35217082028765,0.037973138160852855,-8.942260696114538,0.03581880165617675,2.142407193720175,0.04245436329629278,0.2894647788199636,0.10099699663198251,-0.6881086116621229,0.07856146868762237,165,5.6972456,284.1073,11,39.08894,14.5794525,9.41591,13.737297,1.4405172,2.485386,1.3372154,1.1481705,,
42,3012327436772983936,85.93178873245918,0.07004488379651377,-8.571247873898216,0.07789136950005385,2.3111605742590884,0.09333356556055242,0.38975663649453285,0.16742262396418642,-0.532818174299445,0.1747973699504584,171,7.284689,336.18597,11,57.587837,16.663137,12.643769,19.768597,1.5849415,2.9304075,1.6228714,1.3075361,,
43,3012331117560694784,85.6596373406178,0.08093015648269394,-8.683845463219082,0.08631933066161128,2.1160749399508383,0.09664561814990867,-0.15389570055298776,0.2057274200501747,-0.46008901381033374,0.18092075471879696,174,4.185335,257.33188,11,407.15656,16.887955,22.209196,146.94347,1.6156061,3.2627344,1.904274,1.3584604,,
44,3012331358078862720,85.67005638112192,0.04926384456860345,-8.66907088102077,0.0545692227794054,2.2381922671934804,0.06439346809069903,0.020240996463427696,0.1391053781873195,-0.7728594630617138,0.1380605763297969,167,2.1359468,202.79343,11,44.227386,16.332659,13.146231,14.88209,1.5104747,2.3736057,1.1912956,1.1823101,,
45,3012331495517815424,85.71046947447184,0.1085680677314503,-8.666042990773988,0.1260277603671617,2.3398147207204043,0.13509189556688034,0.9327336525474441,0.24903770288538163,0.1170435599433701,0.23252739519027482,183,4.952439,287.82785,11,62.868835,17.411007,13.85123,21.071085,1.7219249,3.16817,1.7482471,1.4199228,,
46,3012331598597029504,85.71429409975602,0.12743454294860249,-8.650556321295685,0.1455889048210068,2.7272434009265067,0.1646699035796289,1.4930788500538432,0.30365601683059196,-1.2274734672209973,0.2676853290317324,168,23.040297,1030.983,11,460.53796,16.602032,12.541803,31.560236,1.8928956,3.0611362,1.5479622,1.513174,,
47,3012331598597029632,85.71879464835855,0.08654706437845798,-8.65465766608802,0.0965511570151641,2.26056198418047,0.10657085948200894,0.38042279386905686,0.1989888555605425,-1.1587788911094892,0.18503898466718452,185,5.652475,309.00183,11,175.76448,17.113665,15.963133,64.59007,1.6427906,3.0484495,1.6903229,1.3581266,,
48,3012337577191504512,85.73494103508706,0.08233477369981779,-8.629410583417462,0.09503867768104124,2.1638330005829225,0.10482817874964767,-0.6469481535633679,0.19857655384810108,0.402934494216549,0.19895771609287655,152,2.1699812,186.65211,11,665.52515,17.15412,37.61466,235.6146,1.5944104,3.1678152,1.8314571,1.3363581,,
49,3012338298746008320,85.7947951205803,0.08611484743366914,-8.565397127801436,0.11408201228664469,2.7802326658457797,0.13251508704770174,0.6754531691995111,0.2034831312042711,0.07914483552059563,0.196602480939544,159,3.8594916,231.27419,11,37.696533,17.205965,11.24408,13.256228,1.4926335,2.1456547,1.0165844,1.1290703,,
50,3012341283747783808,85.68746280637829,0.12412984703502818,-8.559914249582194,0.14508203425211108,2.611233138990639,0.16815484878389894,0.5066968827077869,0.28040136873047267,-0.2875633894434491,0.2685506672012713,186,6.088294,322.32602,12,214.22984,17.815178,15.341806,28.723475,1.941308,3.4977055,1.9231243,1.5745811,,
